AGUA CANYON	8900 2.4 3.1 2.7 1.9 1.5 0.9 1.9 2.7 2.3 2.1 2.2 2.4
BEAVER DAMS	8000 2.9 2.8 3.4 3.4 2.2 0.9 1.1 1.7 1.9 2.4 2.7 2.7
BEAVER DIVIDE	8280 3.3 3.1 3.3 3.3 2.6 1.5 1.4 1.8 1.8 2.2 2.9 3.3
BEN LOMOND PEAK	8000 8.9 8.2 6.7 4.8 5 3 1.5 2.3 4 4.7 6.8 8.2
BEN LOMOND TRAIL	6000 5.7 5.3 4.5 3.5 3.7 2 1.1 1.7 2.7 3.8 5 5.5
BIG FLAT	10290 3.8 3.6 4 3.6 2.9 1.7 1.8 2.4 2.1 2.2 2.7 3.1
BLACK FLAT-U.M. CK	9400 1.9 2.1 2.3 2.1 1.8 1.1 1.8 2.1 1.8 1.8 1.8 1.8
BOX CREEK	9800 2.6 2.8 3.2 2.8 2.3 1.2 1.3 2 1.9 2 2.2 2.2
BRIGHTON	8750 4.9 5.1 5.3 4.3 3.5 1.6 1.6 1.9 2.4 3.6 4.8 5
BROWN DUCK	10600 3.4 3.9 3.6 3.3 2.9 2.1 2.1 2.3 2.5 2.9 3 3
BUCK FLAT	9800 3.4 3.6 3.6 2.9 2.5 1.2 1.7 2 2.2 2.5 3.3 3.3
BUG LAKE	7950 3.7 3.3 3.3 2.9 2.7 1.5 0.8 1.3 1.7 2.4 3.3 3.5
CAMP JACKSON	8600 3.6 3.3 3.1 2.1 1.6 0.9 2.3 2.6 2.2 3 2.8 3.2
CASTLE VALLEY	9580 2.6 2.9 3.1 2.4 1.7 1 1.9 2.3 1.9 2 2.2 2.2
CHALK CREEK #1	9100 4.3 4.2 4.6 4.7 3.4 1.9 1.6 1.9 2.4 3.3 4.6 4.4
CHALK CREEK #2	8200 2.6 2.7 3.1 3.6 2.9 1.8 1.2 1.4 1.9 2.5 3.1 2.8
CHEPETA	10300 2.4 2.6 3.1 3.2 3.1 2 2.1 2.7 2.6 2.6 2.6 2.4
CLEAR CREEK #1	9200 3.2 3.3 3.6 3 2.1 1.3 1.5 1.8 2.1 2.6 3.2 3.1
CLEAR CREEK #2	8300 2.6 2.8 3.2 2.7 2 1.3 1.5 1.6 1.7 2.1 2.6 2.5
CURRANT CREEK	8000 2.6 2.6 2.2 1.7 1.5 1 1 1.6 1.9 2.1 2.5 2.8
DANIELS-STRAWBERRY	8000 3.6 3.8 3.4 2.8 2.3 1.4 1.1 1.4 1.8 2.5 3.4 3.9
DILL'S CAMP	9200 3.3 3.5 3 2.7 2.5 1.2 1.9 2 1.8 2 2.5 2.8
DONKEY RESERVOIR	9800 1.3 1.6 2.3 2 1.7 0.9 2.1 2.3 2 1.8 1.8 1.1
DRY BREAD POND	8350 3.6 3.7 3.7 3.3 2.6 1.5 1.1 1.3 2 2.7 3.5 3.8
DRY FORK	7160 2.7 3 3.9 4 3.1 1.4 1.5 1.9 2.7 3.6 3.8 3.4
EAST WILLOW CREEK	8250 1.9 1.9 1.8 1.7 1.5 0.8 1.5 2.1 2 2 1.7 1.5
FARMINGTON	8000 6.2 6.2 6.3 5.5 4.9 2.2 1.6 1.8 3.1 4.1 5.5 5.7
FARNSWORTH LAKE	9600 3 3.7 4.5 4.1 2.9 1.2 1.6 2 2 2.8 2.9 3
FIVE POINTS LAKE	10920 3.3 3.3 3.5 3.4 3.4 2.1 1.9 2.7 2.6 3.1 3.2 3
GOOSEBERRY R.S.	7920 2.2 2.4 3.3 3.2 2 0.9 1.1 1.6 1.7 2.4 2.8 2.7
HARDSCRABBLE	7250 5.7 5.3 4.7 4.7 4.2 1.9 1 1.6 2.1 3.5 5.1 5.8
HARRIS FLAT	7800 2.1 2.3 2.2 1.2 1.2 0.8 1.1 1.8 1.9 2.1 1.8 1.7
HAYDEN FORK	9100 3.6 3.5 4.1 3.9 3.4 1.8 1.4 1.8 2.2 2.5 3.6 3.9
HEWINTA	9500 2.3 2.3 3.1 3.1 2.5 1.6 2 1.9 2.1 2.5 2.4 2.1
HICKERSON PARK	9100 1 1 1.8 2.2 2.4 1.5 1.6 2.1 1.7 1.8 1.4 0
HOLE-IN-ROCK	9150 0.9 1 1.7 2.2 2.5 1.7 1.7 2.1 1.7 1.7 1.3 0.9
HORSE RIDGE	8160 4.8 4.1 4.1 3.7 3.2 1.4 0.8 1.3 2.1 2.7 4.2 4.7
INDIAN CANYON	9100 2.3 2.5 2.5 1.7 1.7 1 1.3 1.5 1.9 2.3 2.5 2.2
KIMBERLY MINE	9300 3.1 3.7 4.8 4.4 2.8 1.3 1.7 2 1.9 2.9 3.1 3.1
KING'S CABIN	8730 1.9 2 2.7 2.9 2.9 1.6 1.6 2 2.1 2.2 2 1.8
KOLOB	9250 3.6 5 5.1 3.2 2.3 1.2 1.5 2 1.9 2.1 2.6 3.1
LAKEFORK #1	10100 2.2 2.4 2.4 2.5 2.5 1.7 1.7 2.3 2 2.1 2.5 2.4
